NO_OF_FRAMES	441
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-11-06, 17:06:58	195597.16557433
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
554	5.53000	219.384	218.235	1626.057	209.054	385.217	1362.032	205.562	461.008	1037.369	271.663	472.459	809.004	203.786	100.080	1355.647	186.888	15.832	1036.999	235.324	-14.198	809.395	230.962	432.739	835.722	235.246	378.093	465.332	183.989	361.451	66.586	126.025	321.648	29.182	278.231	387.694	27.452	348.354	341.071	28.489	230.827	34.495	828.491	235.329	89.334	458.858	178.050	120.533	67.463	127.779	163.407	29.983	273.055	95.943	27.271	340.155	140.425	28.653
555	5.54000	219.338	218.317	1626.301	208.974	385.231	1362.044	205.559	460.989	1037.376	271.561	472.462	808.990	203.689	100.115	1355.739	186.874	15.892	1036.964	235.274	-14.193	809.471	230.964	432.731	835.897	235.312	378.430	465.634	184.072	361.542	66.562	126.100	321.538	29.097	278.245	387.758	27.420	348.387	341.033	28.523	230.847	34.548	828.480	235.400	89.312	458.836	177.935	120.449	67.450	127.789	163.346	30.050	273.102	95.950	27.319	340.132	140.466	28.691
556	5.55000	219.543	218.270	1626.157	208.980	385.302	1362.034	205.690	461.060	1037.332	271.600	472.555	808.922	203.710	100.162	1355.747	186.942	15.869	1036.958	235.370	-14.171	809.425	231.011	432.764	835.832	235.116	377.854	465.286	183.973	361.501	66.551	126.134	321.559	29.089	278.254	387.731	27.432	348.390	341.085	28.520	230.703	34.504	828.600	235.335	89.308	458.835	178.043	120.448	67.464	127.829	163.391	30.023	273.099	96.048	27.318	340.203	140.511	28.689
557	5.56000	219.251	218.391	1626.051	208.939	385.352	1361.968	205.593	461.062	1037.291	271.486	472.590	808.997	203.709	100.174	1355.846	186.894	15.875	1037.018	235.233	-14.183	809.458	230.846	432.629	835.799	235.195	377.860	465.339	183.963	361.433	66.560	126.115	321.563	29.148	278.260	387.743	27.423	348.440	341.071	28.506	230.776	34.561	828.527	235.292	89.304	458.932	177.961	120.505	67.439	127.778	163.357	30.017	273.037	95.986	27.287	340.242	140.496	28.708
558	5.57000	219.472	218.298	1626.042	208.905	385.331	1361.977	205.434	461.190	1037.436	271.521	472.626	808.961	203.701	100.176	1355.785	186.882	15.850	1037.028	235.132	-14.120	809.520	230.883	432.625	835.711	235.119	377.820	465.360	184.178	361.355	66.377	126.146	321.566	29.075	278.351	387.670	27.458	348.401	341.053	28.526	230.587	34.528	828.620	235.250	89.345	458.795	177.998	120.472	67.430	127.744	163.295	30.060	273.091	96.072	27.338	340.125	140.460	28.752
559	5.58000	219.281	218.556	1626.311	208.799	385.313	1361.997	205.475	461.170	1037.302	271.474	472.718	808.958	203.678	100.224	1355.847	186.851	15.870	1037.077	235.141	-14.111	809.493	230.627	432.668	835.908	235.049	378.086	465.207	184.013	361.470	66.521	126.083	321.610	29.127	278.256	387.715	27.430	348.334	341.141	28.549	230.712	34.641	828.674	235.313	89.368	458.914	178.044	120.527	67.362	127.767	163.353	30.036	273.038	95.945	27.285	340.247	140.447	28.707
560	5.59000	219.034	218.664	1626.143	208.696	385.448	1361.976	205.475	461.173	1037.318	271.480	472.730	808.944	203.628	100.267	1355.861	186.884	15.881	1037.074	235.078	-14.106	809.521	230.722	432.776	835.880	235.149	378.050	465.284	184.076	361.485	66.447	126.090	321.510	29.077	278.257	387.691	27.425	348.381	341.080	28.510	230.599	34.583	828.614	235.259	89.347	458.843	177.995	120.462	67.402	127.735	163.322	30.024	273.002	95.985	27.293	340.190	140.496	28.714
561	5.60000	219.373	218.667	1626.029	208.811	385.411	1362.016	205.457	461.248	1037.319	271.465	472.700	808.885	203.582	100.286	1355.911	186.862	15.851	1037.071	235.122	-14.100	809.488	230.647	432.707	835.843	235.436	378.140	465.396	184.092	361.752	66.559	126.105	321.539	29.057	278.284	387.733	27.482	348.351	341.080	28.561	230.596	34.625	828.605	235.274	89.367	458.867	177.992	120.485	67.391	127.722	163.350	29.998	273.000	96.096	27.295	340.181	140.470	28.666
562	5.61000	219.056	219.186	1626.199	208.624	385.465	1362.036	205.303	461.140	1037.370	271.468	472.743	808.935	203.623	100.303	1355.876	186.911	15.789	1037.132	235.145	-14.107	809.512	230.760	432.839	835.858	235.350	378.130	465.391	183.920	361.602	66.566	126.100	321.587	29.103	278.242	387.729	27.406	348.433	341.068	28.496	230.593	34.647	828.583	235.232	89.374	458.862	178.081	120.470	67.433	127.696	163.338	30.027	273.074	96.018	27.279	340.208	140.504	28.723
563	5.62000	219.174	218.989	1626.119	208.741	385.426	1361.979	205.399	461.245	1037.216	271.419	472.751	808.965	203.569	100.304	1355.952	186.827	15.837	1037.213	235.030	-14.116	809.611	230.626	432.797	835.939	235.377	378.350	465.426	184.114	361.441	66.438	126.055	321.572	29.146	278.229	387.788	27.504	348.362	341.081	28.556	230.459	34.599	828.634	235.122	89.297	458.916	178.061	120.449	67.454	127.782	163.363	30.063	273.025	96.074	27.291	340.147	140.476	28.652
