NO_OF_FRAMES	135
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-11-06, 17:12:54	195952.96520102
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
2187	21.86000	-8.068	388.749	1563.427	-126.534	546.686	1327.064	-131.239	665.081	1019.195	70.777	582.982	1072.531	-149.000	264.408	1316.234	-170.930	147.854	1015.137	16.881	279.465	1020.823	-159.444	597.182	806.554	-212.878	524.647	452.359	-390.996	483.593	83.167	-451.655	435.997	57.253	-306.893	511.218	28.346	-234.827	467.537	29.882	-118.262	196.904	781.826	37.073	256.531	441.585	169.645	298.828	71.516	140.407	353.681	23.694	272.417	272.087	62.107	322.550	310.276	92.484
2188	21.87000	2.371	386.403	1563.021	-116.016	544.361	1326.829	-121.730	663.528	1019.522	81.025	581.967	1072.082	-137.125	262.107	1314.997	-158.528	146.167	1013.701	29.281	278.948	1019.458	-147.338	596.633	805.135	-203.990	524.643	453.047	-389.475	484.437	86.764	-450.561	436.921	61.860	-306.662	510.951	28.267	-235.032	467.549	29.621	-106.323	196.001	782.091	49.013	256.358	442.175	171.145	299.822	67.400	140.210	354.580	20.796	273.614	272.944	54.973	324.401	310.717	84.771
2189	21.88000	12.969	384.100	1562.545	-105.089	541.796	1326.714	-112.505	661.944	1019.718	90.587	580.564	1071.337	-125.198	259.688	1313.831	-145.055	144.263	1012.267	41.159	278.021	1018.689	-135.444	596.027	803.838	-194.640	525.470	451.243	-387.195	485.215	90.004	-449.232	438.053	66.845	-306.173	511.092	28.420	-235.101	467.611	29.697	-93.980	195.121	782.208	61.853	256.066	442.017	170.897	301.109	64.285	138.839	355.558	17.282	273.148	273.607	48.281	324.936	311.148	75.379
2190	21.89000	23.236	381.368	1562.635	-94.246	539.219	1326.794	-102.826	659.703	1020.061	100.382	579.474	1071.346	-113.324	257.083	1312.718	-131.433	142.248	1011.015	53.261	277.135	1018.261	-122.810	595.493	803.262	-183.907	525.390	452.349	-385.198	486.441	93.779	-447.317	439.235	72.292	-305.533	511.009	28.537	-235.128	467.674	29.671	-81.191	193.987	782.736	74.162	255.892	442.223	171.622	304.251	62.209	140.629	356.212	20.383	274.636	274.103	40.470	329.109	310.850	64.761
2191	21.90000	33.953	378.404	1563.063	-83.425	536.669	1327.344	-93.881	657.794	1021.054	110.999	578.839	1071.442	-100.773	253.950	1311.955	-117.770	140.130	1009.933	65.902	276.416	1017.670	-109.941	594.682	802.612	-173.577	525.633	452.259	-382.142	487.962	97.812	-445.386	440.885	79.113	-304.723	511.211	28.758	-235.094	467.834	29.736	-68.829	192.052	783.415	87.435	255.900	441.475	178.170	303.608	64.145	144.487	355.986	24.669	279.550	274.134	37.484	337.093	309.716	60.060
2192	21.91000	44.890	375.438	1563.753	-72.368	534.048	1328.046	-84.404	655.383	1021.518	121.065	578.122	1071.551	-88.471	250.974	1311.275	-103.210	138.093	1008.975	78.350	275.757	1017.580	-97.003	593.705	801.478	-162.120	525.663	450.845	-378.558	489.330	102.880	-442.596	442.527	86.326	-304.159	511.243	28.976	-235.022	467.933	29.734	-56.091	190.178	784.089	99.227	254.849	441.133	187.806	300.546	65.539	148.795	354.946	28.192	285.165	274.221	35.061	343.464	309.718	56.106
2193	21.92000	56.085	372.609	1564.353	-61.068	531.357	1329.062	-74.992	652.919	1022.488	131.347	577.362	1072.204	-76.443	248.079	1311.140	-88.933	135.654	1008.512	91.174	274.760	1017.746	-83.209	592.403	801.259	-148.947	526.055	452.338	-374.448	490.566	107.757	-439.369	443.780	94.229	-303.963	511.311	29.436	-235.188	467.975	29.631	-43.108	188.342	786.114	109.285	253.105	441.189	192.146	299.796	64.233	151.109	353.368	29.881	288.880	275.553	30.758	348.509	310.663	50.198
2194	21.93000	66.717	370.010	1565.263	-49.472	528.572	1330.469	-65.944	650.451	1024.377	143.338	577.589	1073.136	-64.425	245.577	1311.172	-74.322	133.374	1008.262	104.119	273.801	1018.188	-69.571	590.750	800.973	-137.220	527.174	452.421	-369.697	491.776	113.455	-435.215	444.869	103.173	-303.223	511.520	30.297	-235.208	468.171	29.822	-30.288	186.610	788.584	118.432	251.038	443.192	193.064	300.166	63.428	151.334	352.243	30.605	290.279	275.238	27.983	349.703	312.623	43.968
2195	21.94000	77.530	366.962	1566.441	-37.755	525.879	1331.845	-56.645	647.807	1026.411	152.123	576.116	1072.987	-52.407	243.044	1311.643	-59.806	131.014	1008.881	117.140	272.873	1019.021	-55.645	589.048	800.597	-121.038	527.188	453.014	-364.130	493.183	119.504	-429.141	445.686	112.205	-301.796	511.937	31.299	-235.011	468.516	29.874	-17.679	184.538	791.828	127.072	248.920	446.214	193.744	301.062	63.557	152.173	352.232	31.358	290.481	273.689	27.324	350.400	314.343	40.882
2196	21.95000	88.597	364.063	1568.298	-26.340	523.232	1333.578	-47.481	645.181	1028.786	162.287	575.270	1074.037	-40.850	240.711	1312.516	-45.657	128.605	1009.679	130.116	271.759	1020.104	-41.704	587.291	800.178	-105.885	527.807	451.209	-357.140	494.461	125.984	-421.656	446.399	122.372	-299.661	511.756	33.050	-234.731	468.691	29.996	-4.870	182.356	795.517	136.211	247.254	449.491	195.028	301.114	63.646	153.027	352.418	32.068	290.612	272.932	27.071	354.056	313.562	38.379
