NO_OF_SAMPLES	441
FREQUENCY	100
TIME_STAMP	2020-11-06, 17:06:58	195597.16557433
FIRST_SAMPLE	544
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 2
FORCE_PLATE_CORNER_POSX_POSY_X	517.924011
FORCE_PLATE_CORNER_POSX_POSY_Y	474.072998
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	519.979004
FORCE_PLATE_CORNER_NEGX_POSY_Y	17.014200
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	17.079901
FORCE_PLATE_CORNER_NEGX_NEGY_Y	17.752501
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	16.074800
FORCE_PLATE_CORNER_POSX_NEGY_Y	475.464996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
589	5.88000	2.153109	0.626373	687.445532	-26.984192	4.717571	0.146328	-7.419960	-39.645010	0.000000	
590	5.89000	2.130558	0.512415	687.715389	-27.084246	4.734980	0.141825	-7.441217	-39.768431	0.000000	
591	5.90000	2.243630	0.581289	687.447219	-27.084239	4.726069	0.150720	-7.437589	-39.787817	0.000000	
592	5.91000	2.221185	0.513005	687.715565	-27.102282	4.698641	0.137041	-7.393662	-39.794682	0.000000	
593	5.92000	2.220833	0.581634	687.893764	-27.120096	4.653088	0.123263	-7.325619	-39.814364	0.000000	
594	5.93000	2.039055	0.512425	687.625424	-27.093190	4.680218	0.142075	-7.357154	-39.786594	0.000000	
595	5.94000	2.084590	0.580834	687.714688	-27.092968	4.643756	0.151165	-7.305893	-39.785146	0.000000	
596	5.95000	2.084281	0.444349	687.357751	-27.093460	4.698547	0.146569	-7.389158	-39.798368	0.000000	
597	5.96000	2.085217	0.489847	687.892648	-27.020325	4.671864	0.114416	-7.345013	-39.664035	0.000000	
598	5.97000	2.061750	0.649446	687.801908	-27.001891	4.662995	0.105215	-7.331661	-39.651732	0.000000	
599	5.98000	2.176352	0.626528	687.802481	-26.956602	4.672338	0.127936	-7.351925	-39.584515	0.000000	
600	5.99000	2.177455	0.625934	687.891515	-26.875080	4.763911	0.123277	-7.484216	-39.460894	0.000000	
601	6.00000	2.087561	0.579517	688.160057	-26.866043	4.772678	0.137304	-7.488961	-39.429795	0.000000	
602	6.01000	2.156166	0.670605	688.159200	-26.793283	4.791486	0.137095	-7.520300	-39.329424	0.000000	
603	6.02000	2.133172	0.784442	687.889145	-26.693245	4.783156	0.137101	-7.509633	-39.205939	0.000000	
604	6.03000	2.134580	0.829160	688.246924	-26.656943	4.846862	0.146244	-7.598598	-39.135604	0.000000	
