NO_OF_FRAMES	689
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-11-06, 17:38:20	197478.89455217
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
1143	11.42000	1044.197	350.060	618.632	799.266	489.423	538.356	746.185	577.760	260.736	739.326	588.859	22.963	802.190	240.233	533.009	757.570	142.513	267.159	743.260	120.799	35.381	354.542	543.224	490.615	23.761	504.635	220.022	-384.293	514.589	140.245	-452.672	486.502	174.209	-368.630	506.833	35.828	-325.233	435.563	27.232	353.008	154.393	555.075	-31.937	199.864	304.623	-407.146	233.068	150.715	-471.149	284.194	164.748	-381.761	214.542	48.934	-336.041	255.023	29.576
1144	11.43000	1047.859	351.681	609.394	799.359	489.715	538.406	746.111	577.958	260.705	739.398	588.997	23.022	802.140	240.266	533.265	757.389	142.540	267.233	743.195	120.825	35.378	354.041	544.162	491.209	22.790	504.891	220.944	-386.488	513.446	140.314	-455.076	485.068	173.342	-369.385	506.738	35.972	-324.921	434.861	26.297	353.271	154.855	553.716	-31.285	200.406	302.032	-407.346	233.682	150.675	-471.390	285.267	164.636	-381.853	214.673	49.132	-336.121	255.186	29.716
1145	11.44000	1050.706	353.461	599.657	799.544	489.830	538.338	746.323	577.778	260.418	739.471	588.947	22.940	801.677	240.751	533.191	756.813	142.599	267.175	743.140	120.780	35.456	353.913	545.418	492.691	21.045	505.679	226.181	-388.356	512.202	140.409	-456.827	483.352	172.627	-370.137	506.585	36.276	-324.266	434.681	25.526	353.412	155.311	552.296	-30.673	200.719	299.568	-407.469	234.236	150.727	-471.317	286.162	164.641	-382.062	214.796	49.307	-336.198	255.393	29.824
1146	11.45000	1053.227	354.958	589.546	799.985	490.004	538.482	746.704	577.664	260.395	739.743	588.925	22.739	800.505	241.736	532.559	756.285	142.572	267.052	743.208	120.849	35.466	353.752	546.658	494.994	18.227	506.614	230.782	-389.815	510.904	140.845	-458.334	481.268	172.248	-370.708	506.236	36.590	-323.796	435.599	25.484	353.262	155.543	551.047	-29.653	201.411	296.826	-407.197	234.338	150.703	-471.091	286.620	164.939	-382.081	214.755	49.304	-336.191	255.510	29.657
1147	11.46000	1055.277	356.493	579.554	800.746	490.191	538.504	747.178	577.439	260.283	739.330	588.876	22.905	799.888	242.467	532.208	755.894	142.738	266.825	743.146	120.830	35.438	353.139	547.850	497.514	17.352	508.127	234.819	-390.786	509.666	141.064	-459.244	479.329	171.849	-371.290	505.826	36.872	-323.145	436.320	25.214	353.221	155.745	549.666	-28.113	201.926	293.204	-406.754	234.001	150.755	-470.538	286.686	165.110	-381.907	215.081	48.515	-336.234	255.891	29.275
1148	11.47000	1057.270	357.668	568.804	801.074	489.921	538.269	747.717	577.580	260.619	739.314	588.872	22.875	799.158	243.226	531.503	755.942	142.745	266.831	743.160	120.863	35.429	352.438	549.225	499.700	14.942	509.308	241.395	-391.404	508.461	141.189	-459.820	477.677	171.802	-371.587	505.430	36.919	-322.312	437.219	24.449	353.236	156.516	548.002	-26.383	202.510	289.731	-405.965	233.402	150.784	-469.674	285.958	165.623	-381.537	214.943	48.206	-336.161	255.905	29.286
1149	11.48000	1058.976	358.752	559.132	801.820	489.571	537.964	748.094	577.545	260.433	739.301	588.920	22.893	800.017	242.392	532.492	756.327	142.772	266.845	743.148	120.844	35.434	351.549	550.636	502.400	13.063	508.956	243.572	-391.367	507.509	141.433	-460.104	476.193	172.099	-372.018	505.195	37.126	-321.401	437.924	24.017	353.218	157.009	546.934	-23.978	203.064	286.534	-405.118	232.502	150.937	-468.576	284.499	166.322	-381.217	214.628	47.879	-336.066	255.727	29.592
1150	11.49000	1060.295	359.484	549.397	802.780	489.619	537.728	748.346	577.749	260.509	739.342	588.953	22.785	801.150	241.788	532.480	756.591	142.612	267.067	743.294	120.830	35.316	350.645	551.500	506.291	11.552	509.476	246.341	-391.454	506.546	141.718	-460.005	475.053	172.198	-372.342	504.939	37.143	-321.082	438.680	24.260	353.231	157.475	545.963	-21.987	203.365	284.829	-403.886	231.208	151.175	-467.472	282.805	167.026	-380.638	214.239	47.530	-335.874	255.451	29.776
1151	11.50000	1061.421	359.624	539.096	804.473	490.055	538.039	748.493	577.846	260.521	739.476	589.027	22.715	801.659	241.503	532.187	756.459	142.417	267.222	743.156	120.791	35.446	349.831	552.464	510.626	10.621	509.482	248.304	-391.190	506.009	142.203	-459.844	474.103	172.491	-372.698	504.661	37.268	-321.218	439.203	24.757	353.618	157.942	544.834	-19.829	203.113	284.180	-402.360	230.059	151.558	-466.024	280.832	168.421	-380.233	213.747	47.420	-335.724	255.184	29.812
1152	11.51000	1061.822	359.452	529.614	805.001	489.246	537.310	748.895	577.785	260.383	739.296	588.981	22.759	801.575	241.308	532.473	755.925	142.275	267.102	743.134	120.829	35.393	349.058	553.385	515.078	9.552	509.767	251.226	-390.918	505.481	142.700	-459.280	473.180	172.873	-372.893	504.504	37.259	-321.252	439.458	24.808	354.323	158.386	544.185	-17.170	202.518	283.735	-400.592	229.015	152.105	-463.920	279.153	169.799	-379.673	213.305	47.230	-335.734	255.124	29.773
