X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
21.942072	4.122167e-06	2.695587e-05	1.041827e-05	5.139244e-06	
21.943073	4.074010e-06	2.642970e-05	1.033725e-05	5.141721e-06	
21.944074	4.026095e-06	2.590949e-05	1.025226e-05	5.144062e-06	
21.945075	3.978543e-06	2.539552e-05	1.016351e-05	5.146202e-06	
21.946076	3.931480e-06	2.488804e-05	1.007119e-05	5.148076e-06	
21.947076	3.885029e-06	2.438731e-05	9.975515e-06	5.149617e-06	
21.948077	3.839314e-06	2.389362e-05	9.876686e-06	5.150762e-06	
21.949078	3.794458e-06	2.340721e-05	9.774908e-06	5.151445e-06	
21.950079	3.750585e-06	2.292836e-05	9.670385e-06	5.151601e-06	
21.951080	3.707819e-06	2.245733e-05	9.563320e-06	5.151166e-06	
21.952081	3.666283e-06	2.199438e-05	9.453918e-06	5.150073e-06	
21.953082	3.626102e-06	2.153979e-05	9.342382e-06	5.148258e-06	
21.954083	3.587398e-06	2.109382e-05	9.228918e-06	5.145655e-06	
21.955083	3.550296e-06	2.065672e-05	9.113729e-06	5.142201e-06	
21.956084	3.514920e-06	2.022878e-05	8.997019e-06	5.137828e-06	
21.957085	3.481392e-06	1.981024e-05	8.878993e-06	5.132474e-06	
21.958086	3.449838e-06	1.940138e-05	8.759854e-06	5.126071e-06	
21.959087	3.420379e-06	1.900247e-05	8.639807e-06	5.118556e-06	
21.960088	3.393141e-06	1.861377e-05	8.519056e-06	5.109863e-06	
21.961089	3.368247e-06	1.823554e-05	8.397804e-06	5.099928e-06	
21.962090	3.345821e-06	1.786804e-05	8.276257e-06	5.088684e-06	
21.963090	3.325986e-06	1.751155e-05	8.154618e-06	5.076067e-06	
21.964091	3.308866e-06	1.716634e-05	8.033092e-06	5.062012e-06	
21.965092	3.294584e-06	1.683265e-05	7.911881e-06	5.046454e-06	
21.966093	3.283265e-06	1.651077e-05	7.791192e-06	5.029327e-06	
21.967094	3.275033e-06	1.620095e-05	7.671228e-06	5.010567e-06	
21.968095	3.270010e-06	1.590346e-05	7.552192e-06	4.990109e-06	
21.969096	3.268321e-06	1.561857e-05	7.434289e-06	4.967887e-06	
21.970097	3.270089e-06	1.534654e-05	7.317724e-06	4.943836e-06	
21.971097	3.275438e-06	1.508763e-05	7.202700e-06	4.917891e-06	
21.972098	3.284492e-06	1.484212e-05	7.089421e-06	4.889987e-06	
21.973099	3.297374e-06	1.461027e-05	6.978092e-06	4.860060e-06	
21.974100	3.314209e-06	1.439233e-05	6.868917e-06	4.828043e-06	
21.975101	3.335110e-06	1.418856e-05	6.762091e-06	4.793878e-06	
21.976102	3.360041e-06	1.399886e-05	6.657681e-06	4.757584e-06	
21.977103	3.388854e-06	1.382287e-05	6.555649e-06	4.719246e-06	
21.978104	3.421393e-06	1.366020e-05	6.455959e-06	4.678949e-06	
21.979104	3.457506e-06	1.351050e-05	6.358572e-06	4.636778e-06	
21.980105	3.497038e-06	1.337340e-05	6.263449e-06	4.592818e-06	
21.981106	3.539836e-06	1.324851e-05	6.170553e-06	4.547155e-06	
21.982107	3.585746e-06	1.313548e-05	6.079845e-06	4.499873e-06	
21.983108	3.634614e-06	1.303394e-05	5.991288e-06	4.451059e-06	
21.984109	3.686287e-06	1.294350e-05	5.904842e-06	4.400797e-06	
21.985110	3.740610e-06	1.286381e-05	5.820469e-06	4.349172e-06	
21.986111	3.797431e-06	1.279449e-05	5.738132e-06	4.296270e-06	
21.987112	3.856595e-06	1.273517e-05	5.657792e-06	4.242176e-06	
21.988112	3.917950e-06	1.268548e-05	5.579411e-06	4.186976e-06	
21.989113	3.981340e-06	1.264506e-05	5.502951e-06	4.130754e-06	
21.990114	4.046612e-06	1.261352e-05	5.428373e-06	4.073595e-06	
21.991115	4.113613e-06	1.259051e-05	5.355639e-06	4.015586e-06	
21.992116	4.182189e-06	1.257565e-05	5.284712e-06	3.956811e-06	
21.993117	4.252186e-06	1.256856e-05	5.215552e-06	3.897356e-06	
21.994118	4.323451e-06	1.256889e-05	5.148121e-06	3.837305e-06	
21.995119	4.395829e-06	1.257626e-05	5.082382e-06	3.776744e-06	
21.996119	4.469168e-06	1.259030e-05	5.018295e-06	3.715759e-06	
21.997120	4.543312e-06	1.261063e-05	4.955824e-06	3.654434e-06	
21.998121	4.618110e-06	1.263690e-05	4.894929e-06	3.592855e-06	
21.999122	4.693406e-06	1.266873e-05	4.835573e-06	3.531107e-06	
22.000123	4.769047e-06	1.270574e-05	4.777716e-06	3.469275e-06	
22.001124	4.844880e-06	1.274758e-05	4.721322e-06	3.407444e-06	
22.002125	4.920751e-06	1.279386e-05	4.666351e-06	3.345701e-06	
22.003126	4.996505e-06	1.284422e-05	4.612765e-06	3.284129e-06	
22.004126	5.071990e-06	1.289829e-05	4.560527e-06	3.222815e-06	
22.005127	5.147052e-06	1.295569e-05	4.509598e-06	3.161843e-06	
22.006128	5.221537e-06	1.301607e-05	4.459939e-06	3.101298e-06	
22.007129	5.295290e-06	1.307904e-05	4.411513e-06	3.041267e-06	
22.008130	5.368159e-06	1.314424e-05	4.364281e-06	2.981834e-06	
22.009131	5.439990e-06	1.321129e-05	4.318206e-06	2.923085e-06	
22.010132	5.510629e-06	1.327984e-05	4.273248e-06	2.865104e-06	
22.011133	5.579923e-06	1.334950e-05	4.229369e-06	2.807977e-06	
22.012133	5.647716e-06	1.341990e-05	4.186532e-06	2.751789e-06	
22.013134	5.713857e-06	1.349068e-05	4.144698e-06	2.696626e-06	
22.014135	5.778191e-06	1.356147e-05	4.103829e-06	2.642573e-06	
22.015136	5.840565e-06	1.363189e-05	4.063887e-06	2.589715e-06	
22.016137	5.900824e-06	1.370158e-05	4.024833e-06	2.538136e-06	
22.017138	5.958815e-06	1.377016e-05	3.986629e-06	2.487924e-06	
22.018139	6.014385e-06	1.383727e-05	3.949237e-06	2.439161e-06	
22.019140	6.067379e-06	1.390253e-05	3.912619e-06	2.391935e-06	
22.020140	6.117644e-06	1.396558e-05	3.876737e-06	2.346330e-06	
22.021141	6.165026e-06	1.402604e-05	3.841552e-06	2.302432e-06	
22.022142	6.209372e-06	1.408355e-05	3.807025e-06	2.260325e-06	
22.023143	6.250528e-06	1.413773e-05	3.773120e-06	2.220095e-06	
22.024144	6.288339e-06	1.418821e-05	3.739797e-06	2.181828e-06	
22.025145	6.322664e-06	1.423465e-05	3.707020e-06	2.145602e-06	
22.026146	6.353496e-06	1.427698e-05	3.674775e-06	2.111421e-06	
22.027147	6.380925e-06	1.431531e-05	3.643061e-06	2.079238e-06	
22.028147	6.405043e-06	1.434979e-05	3.611880e-06	2.049002e-06	
22.029148	6.425941e-06	1.438054e-05	3.581231e-06	2.020664e-06	
22.030149	6.443712e-06	1.440768e-05	3.551117e-06	1.994174e-06	
22.031150	6.458446e-06	1.443136e-05	3.521538e-06	1.969484e-06	
22.032151	6.470235e-06	1.445168e-05	3.492494e-06	1.946543e-06	
22.033152	6.479171e-06	1.446880e-05	3.463986e-06	1.925302e-06	
22.034153	6.485345e-06	1.448283e-05	3.436015e-06	1.905711e-06	
22.035154	6.488849e-06	1.449390e-05	3.408581e-06	1.887722e-06	
22.036155	6.489775e-06	1.450214e-05	3.381686e-06	1.871284e-06	
22.037155	6.488215e-06	1.450769e-05	3.355330e-06	1.856349e-06	
22.038156	6.484259e-06	1.451066e-05	3.329514e-06	1.842866e-06	
22.039157	6.478000e-06	1.451120e-05	3.304238e-06	1.830786e-06	
22.040158	6.469529e-06	1.450942e-05	3.279503e-06	1.820059e-06	
22.041159	6.458938e-06	1.450546e-05	3.255310e-06	1.810637e-06	
22.042160	6.446318e-06	1.449944e-05	3.231660e-06	1.802469e-06	
22.043161	6.431761e-06	1.449151e-05	3.208553e-06	1.795506e-06	
22.044162	6.415358e-06	1.448177e-05	3.185991e-06	1.789699e-06	
22.045162	6.397202e-06	1.447037e-05	3.163973e-06	1.784998e-06	
22.046163	6.377384e-06	1.445743e-05	3.142501e-06	1.781353e-06	
22.047164	6.355995e-06	1.444308e-05	3.121575e-06	1.778716e-06	
22.048165	6.333127e-06	1.442745e-05	3.101196e-06	1.777036e-06	
22.049166	6.308872e-06	1.441067e-05	3.081365e-06	1.776264e-06	
22.050167	6.283321e-06	1.439287e-05	3.062082e-06	1.776351e-06	
22.051168	6.256566e-06	1.437417e-05	3.043349e-06	1.777247e-06	
22.052169	6.228698e-06	1.435471e-05	3.025165e-06	1.778903e-06	
22.053169	6.199810e-06	1.433462e-05	3.007533e-06	1.781269e-06	
22.054170	6.169993e-06	1.431402e-05	2.990451e-06	1.784295e-06	
22.055171	6.139337e-06	1.429304e-05	2.973922e-06	1.787933e-06	
22.056172	6.107936e-06	1.427182e-05	2.957945e-06	1.792132e-06	
22.057173	6.075880e-06	1.425047e-05	2.942523e-06	1.796843e-06	
22.058174	6.043262e-06	1.422914e-05	2.927654e-06	1.802017e-06	
22.059175	6.010172e-06	1.420794e-05	2.913340e-06	1.807605e-06	
22.060176	5.976703e-06	1.418701e-05	2.899583e-06	1.813555e-06	
22.061176	5.942946e-06	1.416648e-05	2.886381e-06	1.819820e-06	
22.062177	5.908992e-06	1.414647e-05	2.873737e-06	1.826350e-06	
22.063178	5.874934e-06	1.412712e-05	2.861651e-06	1.833095e-06	
22.064179	5.840863e-06	1.410855e-05	2.850123e-06	1.840005e-06	
22.065180	5.806870e-06	1.409090e-05	2.839155e-06	1.847032e-06	
22.066181	5.773047e-06	1.407428e-05	2.828747e-06	1.854125e-06	
22.067182	5.739486e-06	1.405884e-05	2.818900e-06	1.861236e-06	
22.068183	5.706279e-06	1.404470e-05	2.809615e-06	1.868314e-06	
22.069183	5.673516e-06	1.403198e-05	2.800891e-06	1.875310e-06	
22.070184	5.641290e-06	1.402082e-05	2.792731e-06	1.882175e-06	
22.071185	5.609692e-06	1.401135e-05	2.785134e-06	1.888859e-06	
22.072186	5.578814e-06	1.400370e-05	2.778102e-06	1.895313e-06	
22.073187	5.548748e-06	1.399799e-05	2.771636e-06	1.901488e-06	
22.074188	5.519584e-06	1.399435e-05	2.765735e-06	1.907333e-06	
22.075189	5.491418e-06	1.399290e-05	2.760400e-06	1.912802e-06	
