X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
11.502012	3.090822e-06	2.192184e-05	1.172453e-05	8.241279e-06	
11.503012	3.103546e-06	2.217890e-05	1.173091e-05	8.207108e-06	
11.504013	3.118691e-06	2.244185e-05	1.174702e-05	8.181745e-06	
11.505013	3.136195e-06	2.271098e-05	1.177219e-05	8.165668e-06	
11.506013	3.155998e-06	2.298662e-05	1.180573e-05	8.159355e-06	
11.507013	3.178038e-06	2.326906e-05	1.184697e-05	8.163284e-06	
11.508013	3.202253e-06	2.355862e-05	1.189523e-05	8.177934e-06	
11.509013	3.228584e-06	2.385561e-05	1.194983e-05	8.203784e-06	
11.510013	3.256968e-06	2.416032e-05	1.201009e-05	8.241311e-06	
11.511014	3.287344e-06	2.447308e-05	1.207534e-05	8.290994e-06	
11.512014	3.319652e-06	2.479418e-05	1.214489e-05	8.353311e-06	
11.513014	3.353830e-06	2.512394e-05	1.221807e-05	8.428740e-06	
11.514014	3.389817e-06	2.546266e-05	1.229421e-05	8.517761e-06	
11.515014	3.427552e-06	2.581065e-05	1.237261e-05	8.620850e-06	
11.516014	3.466974e-06	2.616822e-05	1.245261e-05	8.738487e-06	
11.517015	3.508021e-06	2.653567e-05	1.253353e-05	8.871149e-06	
11.518015	3.550633e-06	2.691333e-05	1.261468e-05	9.019316e-06	
11.519015	3.594748e-06	2.730148e-05	1.269539e-05	9.183465e-06	
11.520015	3.640305e-06	2.770044e-05	1.277499e-05	9.364075e-06	
11.521015	3.687243e-06	2.811052e-05	1.285279e-05	9.561624e-06	
11.522015	3.735501e-06	2.853203e-05	1.292811e-05	9.776590e-06	
11.523015	3.785017e-06	2.896527e-05	1.300028e-05	1.000945e-05	
11.524016	3.835731e-06	2.941056e-05	1.306862e-05	1.026069e-05	
11.525016	3.887581e-06	2.986816e-05	1.313247e-05	1.053075e-05	
11.526016	3.940487e-06	3.033766e-05	1.319154e-05	1.081945e-05	
11.527016	3.994355e-06	3.081794e-05	1.324590e-05	1.112600e-05	
11.528016	4.049087e-06	3.130788e-05	1.329566e-05	1.144955e-05	
11.529016	4.104588e-06	3.180634e-05	1.334092e-05	1.178930e-05	
11.530016	4.160761e-06	3.231218e-05	1.338175e-05	1.214440e-05	
11.531017	4.217510e-06	3.282426e-05	1.341827e-05	1.251403e-05	
11.532017	4.274738e-06	3.334145e-05	1.345056e-05	1.289736e-05	
11.533017	4.332350e-06	3.386261e-05	1.347872e-05	1.329356e-05	
11.534017	4.390249e-06	3.438661e-05	1.350285e-05	1.370181e-05	
11.535017	4.448338e-06	3.491231e-05	1.352304e-05	1.412128e-05	
11.536017	4.506522e-06	3.543857e-05	1.353939e-05	1.455114e-05	
11.537018	4.564704e-06	3.596426e-05	1.355199e-05	1.499057e-05	
11.538018	4.622788e-06	3.648823e-05	1.356093e-05	1.543872e-05	
11.539018	4.680677e-06	3.700936e-05	1.356631e-05	1.589479e-05	
11.540018	4.738276e-06	3.752651e-05	1.356824e-05	1.635793e-05	
11.541018	4.795487e-06	3.803854e-05	1.356679e-05	1.682732e-05	
11.542018	4.852215e-06	3.854432e-05	1.356207e-05	1.730214e-05	
11.543018	4.908363e-06	3.904270e-05	1.355417e-05	1.778155e-05	
11.544019	4.963836e-06	3.953256e-05	1.354319e-05	1.826473e-05	
11.545019	5.018536e-06	4.001275e-05	1.352923e-05	1.875085e-05	
11.546019	5.072367e-06	4.048214e-05	1.351237e-05	1.923908e-05	
11.547019	5.125234e-06	4.093960e-05	1.349271e-05	1.972859e-05	
11.548019	5.177039e-06	4.138398e-05	1.347035e-05	2.021856e-05	
11.549019	5.227687e-06	4.181416e-05	1.344539e-05	2.070816e-05	
11.550019	5.277081e-06	4.222899e-05	1.341791e-05	2.119656e-05	
11.551020	5.325125e-06	4.262734e-05	1.338802e-05	2.168293e-05	
11.552020	5.371723e-06	4.300807e-05	1.335581e-05	2.216644e-05	
11.553020	5.416778e-06	4.337004e-05	1.332137e-05	2.264627e-05	
11.554020	5.460194e-06	4.371213e-05	1.328480e-05	2.312159e-05	
11.555020	5.501874e-06	4.403319e-05	1.324619e-05	2.359157e-05	
11.556020	5.541724e-06	4.433208e-05	1.320564e-05	2.405539e-05	
11.557021	5.579645e-06	4.460768e-05	1.316325e-05	2.451221e-05	
11.558021	5.615542e-06	4.485884e-05	1.311911e-05	2.496120e-05	
11.559021	5.649318e-06	4.508443e-05	1.307331e-05	2.540155e-05	
11.560021	5.680878e-06	4.528332e-05	1.302595e-05	2.583242e-05	
11.561021	5.710125e-06	4.545435e-05	1.297713e-05	2.625298e-05	
11.562021	5.736962e-06	4.559641e-05	1.292694e-05	2.666240e-05	
11.563021	5.761293e-06	4.570835e-05	1.287547e-05	2.705987e-05	
11.564022	5.783023e-06	4.578904e-05	1.282283e-05	2.744454e-05	
11.565022	5.802054e-06	4.583734e-05	1.276910e-05	2.781560e-05	
11.566022	5.818291e-06	4.585211e-05	1.271438e-05	2.817221e-05	
11.567022	5.831637e-06	4.583222e-05	1.265877e-05	2.851355e-05	
11.568022	5.841996e-06	4.577653e-05	1.260236e-05	2.883878e-05	
11.569022	5.849271e-06	4.568391e-05	1.254524e-05	2.914709e-05	
11.570022	5.853366e-06	4.555321e-05	1.248752e-05	2.943764e-05	
11.571023	5.854186e-06	4.538331e-05	1.242929e-05	2.970960e-05	
11.572023	5.851632e-06	4.517306e-05	1.237063e-05	2.996215e-05	
11.573023	5.845611e-06	4.492134e-05	1.231166e-05	3.019447e-05	
11.574023	5.836024e-06	4.462700e-05	1.225245e-05	3.040571e-05	
11.575023	5.822781e-06	4.428897e-05	1.219312e-05	3.059509e-05	
11.576023	5.805909e-06	4.390751e-05	1.213367e-05	3.076252e-05	
11.577024	5.785547e-06	4.348419e-05	1.207408e-05	3.090863e-05	
11.578024	5.761839e-06	4.302061e-05	1.201432e-05	3.103405e-05	
11.579024	5.734928e-06	4.251837e-05	1.195433e-05	3.113941e-05	
11.580024	5.704959e-06	4.197910e-05	1.189410e-05	3.122537e-05	
11.581024	5.672075e-06	4.140440e-05	1.183358e-05	3.129255e-05	
11.582024	5.636421e-06	4.079588e-05	1.177273e-05	3.134161e-05	
11.583024	5.598140e-06	4.015514e-05	1.171151e-05	3.137317e-05	
11.584025	5.557377e-06	3.948380e-05	1.164990e-05	3.138788e-05	
11.585025	5.514275e-06	3.878346e-05	1.158785e-05	3.138638e-05	
11.586025	5.468978e-06	3.805575e-05	1.152533e-05	3.136930e-05	
11.587025	5.421630e-06	3.730225e-05	1.146230e-05	3.133730e-05	
11.588025	5.372375e-06	3.652459e-05	1.139872e-05	3.129100e-05	
11.589025	5.321357e-06	3.572437e-05	1.133456e-05	3.123104e-05	
11.590025	5.268719e-06	3.490321e-05	1.126978e-05	3.115808e-05	
11.591026	5.214607e-06	3.406270e-05	1.120434e-05	3.107274e-05	
11.592026	5.159163e-06	3.320447e-05	1.113821e-05	3.097566e-05	
11.593026	5.102532e-06	3.233012e-05	1.107134e-05	3.086750e-05	
11.594026	5.044857e-06	3.144125e-05	1.100371e-05	3.074887e-05	
11.595026	4.986283e-06	3.053949e-05	1.093527e-05	3.062044e-05	
11.596026	4.926953e-06	2.962643e-05	1.086599e-05	3.048283e-05	
11.597027	4.867012e-06	2.870369e-05	1.079584e-05	3.033668e-05	
11.598027	4.806602e-06	2.777287e-05	1.072476e-05	3.018264e-05	
11.599027	4.745869e-06	2.683559e-05	1.065274e-05	3.002134e-05	
11.600027	4.684956e-06	2.589346e-05	1.057973e-05	2.985343e-05	
11.601027	4.624007e-06	2.494808e-05	1.050569e-05	2.967954e-05	
11.602027	4.563165e-06	2.400106e-05	1.043059e-05	2.950032e-05	
11.603027	4.502576e-06	2.305401e-05	1.035439e-05	2.931639e-05	
11.604028	4.442382e-06	2.210855e-05	1.027706e-05	2.912842e-05	
11.605028	4.382728e-06	2.116627e-05	1.019855e-05	2.893702e-05	
11.606028	4.323758e-06	2.022880e-05	1.011883e-05	2.874285e-05	
11.607028	4.265615e-06	1.929774e-05	1.003787e-05	2.854654e-05	
11.608028	4.208443e-06	1.837469e-05	9.955620e-06	2.834873e-05	
11.609028	4.152387e-06	1.746127e-05	9.872054e-06	2.815006e-05	
11.610028	4.097590e-06	1.655909e-05	9.787130e-06	2.795118e-05	
11.611029	4.044196e-06	1.566975e-05	9.700812e-06	2.775272e-05	
11.612029	3.992350e-06	1.479488e-05	9.613064e-06	2.755532e-05	
11.613029	3.942194e-06	1.393606e-05	9.523849e-06	2.735961e-05	
11.614029	3.893874e-06	1.309492e-05	9.433130e-06	2.716626e-05	
11.615029	3.847532e-06	1.227306e-05	9.340870e-06	2.697588e-05	
11.616029	3.803313e-06	1.147210e-05	9.247032e-06	2.678912e-05	
11.617029	3.761361e-06	1.069363e-05	9.151579e-06	2.660662e-05	
11.618030	3.721820e-06	9.939278e-06	9.054475e-06	2.642902e-05	
11.619030	3.684833e-06	9.210645e-06	8.955683e-06	2.625696e-05	
11.620030	3.650544e-06	8.509341e-06	8.855166e-06	2.609108e-05	
11.621030	3.619098e-06	7.836976e-06	8.752887e-06	2.593202e-05	
11.622030	3.590639e-06	7.195159e-06	8.648810e-06	2.578041e-05	
11.623030	3.565309e-06	6.585499e-06	8.542896e-06	2.563691e-05	
11.624031	3.543254e-06	6.009605e-06	8.435111e-06	2.550214e-05	
11.625031	3.524610e-06	5.469026e-06	8.325421e-06	2.537673e-05	
11.626031	3.509360e-06	4.964062e-06	8.213875e-06	2.526085e-05	
11.627031	3.497344e-06	4.493829e-06	8.100603e-06	2.515426e-05	
11.628031	3.488396e-06	4.057399e-06	7.985734e-06	2.505668e-05	
11.629031	3.482350e-06	3.653843e-06	7.869401e-06	2.496786e-05	
11.630031	3.479038e-06	3.282231e-06	7.751736e-06	2.488753e-05	
11.631032	3.478296e-06	2.941634e-06	7.632868e-06	2.481542e-05	
11.632032	3.479957e-06	2.631124e-06	7.512929e-06	2.475129e-05	
11.633032	3.483854e-06	2.349771e-06	7.392051e-06	2.469485e-05	
11.634032	3.489821e-06	2.096647e-06	7.270365e-06	2.464585e-05	
11.635032	3.497693e-06	1.870822e-06	7.148002e-06	2.460403e-05	
11.636032	3.507302e-06	1.671367e-06	7.025094e-06	2.456911e-05	
11.637032	3.518483e-06	1.497354e-06	6.901771e-06	2.454084e-05	
11.638033	3.531070e-06	1.347853e-06	6.778165e-06	2.451895e-05	
11.639033	3.544895e-06	1.221935e-06	6.654407e-06	2.450319e-05	
11.640033	3.559794e-06	1.118671e-06	6.530629e-06	2.449327e-05	
11.641033	3.575599e-06	1.037132e-06	6.406961e-06	2.448895e-05	
11.642033	3.592145e-06	9.763893e-07	6.283535e-06	2.448996e-05	
11.643033	3.609264e-06	9.355136e-07	6.160483e-06	2.449603e-05	
11.644034	3.626792e-06	9.135760e-07	6.037935e-06	2.450690e-05	
11.645034	3.644562e-06	9.096473e-07	5.916023e-06	2.452231e-05	
11.646034	3.662407e-06	9.227985e-07	5.794877e-06	2.454200e-05	
11.647034	3.680161e-06	9.521007e-07	5.674630e-06	2.456569e-05	
11.648034	3.697658e-06	9.966247e-07	5.555413e-06	2.459313e-05	
11.649034	3.714732e-06	1.055442e-06	5.437356e-06	2.462405e-05	
11.650034	3.731216e-06	1.127622e-06	5.320592e-06	2.465819e-05	
11.651035	3.746945e-06	1.212238e-06	5.205250e-06	2.469528e-05	
11.652035	3.761752e-06	1.308359e-06	5.091464e-06	2.473507e-05	
11.653035	3.775471e-06	1.415057e-06	4.979363e-06	2.477728e-05	
11.654035	3.787935e-06	1.531402e-06	4.869079e-06	2.482166e-05	
11.655035	3.798978e-06	1.656466e-06	4.760744e-06	2.486794e-05	
11.656035	3.808435e-06	1.789320e-06	4.654488e-06	2.491586e-05	
11.657035	3.816139e-06	1.929034e-06	4.550443e-06	2.496515e-05	
11.658036	3.821923e-06	2.074680e-06	4.448740e-06	2.501555e-05	
11.659036	3.825621e-06	2.225328e-06	4.349511e-06	2.506679e-05	
11.660036	3.827068e-06	2.380050e-06	4.252886e-06	2.511862e-05	
11.661036	3.826096e-06	2.537916e-06	4.158998e-06	2.517077e-05	
11.662036	3.822541e-06	2.697997e-06	4.067976e-06	2.522297e-05	
11.663036	3.816234e-06	2.859365e-06	3.979953e-06	2.527496e-05	
11.664037	3.807011e-06	3.021090e-06	3.895060e-06	2.532648e-05	
11.665037	3.794705e-06	3.182244e-06	3.813428e-06	2.537726e-05	
11.666037	3.779150e-06	3.341896e-06	3.735188e-06	2.542705e-05	
11.667037	3.760179e-06	3.499119e-06	3.660471e-06	2.547557e-05	
11.668037	3.737626e-06	3.652983e-06	3.589409e-06	2.552256e-05	
11.669037	3.711326e-06	3.802559e-06	3.522134e-06	2.556777e-05	
11.670037	3.681111e-06	3.946919e-06	3.458775e-06	2.561092e-05	
11.671038	3.646815e-06	4.085132e-06	3.399465e-06	2.565175e-05	
11.672038	3.608273e-06	4.216270e-06	3.344335e-06	2.569000e-05	
11.673038	3.565318e-06	4.339404e-06	3.293517e-06	2.572540e-05	
11.674038	3.517784e-06	4.453606e-06	3.247140e-06	2.575770e-05	
11.675038	3.465518e-06	4.557975e-06	3.205334e-06	2.578663e-05	
11.676038	3.408648e-06	4.652215e-06	3.168157e-06	2.581211e-05	
11.677038	3.347557e-06	4.736587e-06	3.135606e-06	2.583420e-05	
11.678039	3.282642e-06	4.811373e-06	3.107675e-06	2.585298e-05	
11.679039	3.214296e-06	4.876857e-06	3.084357e-06	2.586852e-05	
11.680039	3.142915e-06	4.933319e-06	3.065646e-06	2.588088e-05	
11.681039	3.068894e-06	4.981043e-06	3.051535e-06	2.589015e-05	
11.682039	2.992627e-06	5.020310e-06	3.042020e-06	2.589639e-05	
11.683039	2.914510e-06	5.051403e-06	3.037092e-06	2.589968e-05	
11.684040	2.834937e-06	5.074604e-06	3.036746e-06	2.590009e-05	
11.685040	2.754303e-06	5.090196e-06	3.040976e-06	2.589769e-05	
11.686040	2.673003e-06	5.098460e-06	3.049776e-06	2.589255e-05	
11.687040	2.591433e-06	5.099679e-06	3.063138e-06	2.588474e-05	
11.688040	2.509985e-06	5.094135e-06	3.081058e-06	2.587435e-05	
11.689040	2.429057e-06	5.082111e-06	3.103528e-06	2.586143e-05	
11.690040	2.349042e-06	5.063889e-06	3.130542e-06	2.584606e-05	
11.691041	2.270335e-06	5.039751e-06	3.162094e-06	2.582832e-05	
11.692041	2.193332e-06	5.009979e-06	3.198178e-06	2.580827e-05	
11.693041	2.118427e-06	4.974856e-06	3.238788e-06	2.578599e-05	
11.694041	2.046014e-06	4.934663e-06	3.283917e-06	2.576154e-05	
11.695041	1.976490e-06	4.889684e-06	3.333558e-06	2.573501e-05	
11.696041	1.910248e-06	4.840200e-06	3.387707e-06	2.570647e-05	
11.697041	1.847684e-06	4.786494e-06	3.446355e-06	2.567598e-05	
11.698042	1.789193e-06	4.728849e-06	3.509498e-06	2.564362e-05	
11.699042	1.735169e-06	4.667545e-06	3.577129e-06	2.560946e-05	
11.700042	1.686007e-06	4.602866e-06	3.649242e-06	2.557357e-05	
11.701042	1.642103e-06	4.535094e-06	3.725830e-06	2.553602e-05	
11.702042	1.603850e-06	4.464511e-06	3.806886e-06	2.549689e-05	
